name	name_va	reg_site_va	id_global_va	getter_va	vtable_va	serializer_va	handler_va	file_off_reg	file_off_name	file_off_getter	file_off_vtable	file_off_serializer_ptr	file_off_handler_ptr	source
GSCN_RunTimeProtocolRes	0x00F2FFF8	0x00BEE050	0x01081C94	0x005E37C0	0x00F2FFC0	0x005E3EE0	0x005E4060	0x007ED450	0x00B2E3F8	0x001E2BC0	0x00B2E3C0	0x00B2E3D8	0x00B2E3DC	IMAGE
GSCN_LoginProtocol	0x00F30010	0x00BEE070	0x01081C98	0x005E3710	0x00F2FFA0	0x005E36D0	0x005E4050	0x007ED470	0x00B2E410	0x001E2B10	0x00B2E3A0	0x00B2E3B8	0x00B2E3BC	IMAGE
LoginVerifyVital	0x00F307A0	0x00BEE280	0x01081FC0	0x005E4AE0	0x00F30158	0x005E4B70	0x00710440	0x007ED680	0x00B2EBA0	0x001E3EE0	0x00B2E558	0x00B2E570	0x00B2E574	IMAGE
SelectActorVital	0x00F0B3C0	0x00BEE2A0	0x01081FC4	0x005ED1E0	0x00F30744	0x005EBAE0	0x005EFC40	0x007ED6A0	0x00B097C0	0x001EC5E0	0x00B2EB44	0x00B2EB5C	0x00B2EB60	IMAGE
NotifyEnterCreateActor	0x00F307B4	0x00BEE2C0	0x01081FC8	0x004AE340	0x00F159C0	0x006B8BE0	0x00710440	0x007ED6C0	0x00B2EBB4	0x000AD740	0x00B13DC0	0x00B13DD8	0x00B13DDC	IMAGE
CreateActorVital	0x00F307CC	0x00BEE2E0	0x01081FCC	0x005E4C70	0x00F3017C	0x005EB3B0	0x005EFD50	0x007ED6E0	0x00B2EBCC	0x001E4070	0x00B2E57C	0x00B2E594	0x00B2E598	IMAGE
DeleteActorVital	0x00F307E0	0x00BEE300	0x01081FD0	0x005E4D90	0x00F301A0	0x005E4E10	0x005EFDC0	0x007ED700	0x00B2EBE0	0x001E4190	0x00B2E5A0	0x00B2E5B8	0x00B2E5BC	IMAGE
StartGameReq	0x00F307F4	0x00BEE320	0x01081FD4	0x005E4ED0	0x00F301C4	0x00621760	0x00710440	0x007ED720	0x00B2EBF4	0x001E42D0	0x00B2E5C4	0x00B2E5DC	0x00B2E5E0	IMAGE
StartGameRes	0x00F0B398	0x00BEE340	0x01081FD8	0x005E4F80	0x00F301E8	0x005EF160	0x005EFE10	0x007ED740	0x00B09798	0x001E4380	0x00B2E5E8	0x00B2E600	0x00B2E604	IMAGE
StartGameFailVital	0x00F30804	0x00BEE360	0x01081FDC	0x005E5040	0x00F3020C	0x00621760	0x005EFEB0	0x007ED760	0x00B2EC04	0x001E4440	0x00B2E60C	0x00B2E624	0x00B2E628	IMAGE
TargetPosVital	0x00F30818	0x00BEE380	0x01081FE0	0x005E50A0	0x00F30230	0x005E50E0	0x00710440	0x007ED780	0x00B2EC18	0x001E44A0	0x00B2E630	0x00B2E648	0x00B2E64C	IMAGE
ForcePos	0x00F30828	0x00BEE3A0	0x01081FE4	0x005E51C0	0x00F30254	0x005E4250	0x00710440	0x007ED7A0	0x00B2EC28	0x001E45C0	0x00B2E654	0x00B2E66C	0x00B2E670	IMAGE
CWarpResult	0x00F30834	0x00BEE3C0	0x01081FE8	0x005E51E0	0x00F30278	0x005E51F0	0x005EFB80	0x007ED7C0	0x00B2EC34	0x001E45E0	0x00B2E678	0x00B2E690	0x00B2E694	IMAGE
CheatVital	0x00F30840	0x00BEE3E0	0x01081FEC	0x005E5320	0x00F3029C	0x005E53A0	0x00710440	0x007ED7E0	0x00B2EC40	0x001E4720	0x00B2E69C	0x00B2E6B4	0x00B2E6B8	IMAGE
TeleportVital	0x00F3084C	0x00BEE400	0x01081FF0	0x005E5470	0x00F302C0	0x005EB470	0x005F14B0	0x007ED800	0x00B2EC4C	0x001E4870	0x00B2E6C0	0x00B2E6D8	0x00B2E6DC	IMAGE
InstanceVital	0x00F3085C	0x00BEE420	0x01081FF4	0x005E5580	0x00F302E4	0x005E5590	0x005F1700	0x007ED820	0x00B2EC5C	0x001E4980	0x00B2E6E4	0x00B2E6FC	0x00B2E700	IMAGE
InstanceBonusNotify	0x00F3086C	0x00BEE440	0x01081FF8	0x005E5720	0x00F30308	0x005E57A0	0x005EF570	0x007ED840	0x00B2EC6C	0x001E4B20	0x00B2E708	0x00B2E720	0x00B2E724	IMAGE
InstanceStatisticVital	0x00F30880	0x00BEE460	0x01081FFC	0x005ECAE0	0x00F306E4	0x005ED7B0	0x005EFFA0	0x007ED860	0x00B2EC80	0x001EBEE0	0x00B2EAE4	0x00B2EAFC	0x00B2EB00	IMAGE
InstanceChooseRewardReq	0x00F30898	0x00BEE480	0x01082000	0x00553970	0x00F24D04	0x00621760	0x00710440	0x007ED880	0x00B2EC98	0x00152D70	0x00B23104	0x00B2311C	0x00B23120	IMAGE
InstanceChooseRewardRes	0x00F308B0	0x00BEE4A0	0x01082004	0x005E4680	0x00F30038	0x005E57F0	0x005F0100	0x007ED8A0	0x00B2ECB0	0x001E3A80	0x00B2E438	0x00B2E450	0x00B2E454	IMAGE
