root_key	name	schema_variant	base_registry_line	vtable_va	old_serializer_pointer_file_off	old_serializer_va	corrected_serializer_pointer_file_off	corrected_serializer_va	span_start	span_end	file_off	length	span_sha256	source
5c72163e72831ff9e1698bba7cc01d2fd563b750a3b9c90f1a361d730ef99140	QuestAttr	SINGLETON_SLOT34	103	0x00F31840	0x00B2FC58	0x0043BB80	0x00B2FC74	0x00602F00	0x00602F00	0x00602F82	0x00202300	130	8587b924de149c9de35ce5ca748c0f0055801ffc0cc64e6b59db00990d8fb31d	IMAGE
755630acce030837db893b5206722c03edbe929992a1036c636f3c31cc2df61e	QuestMiscAttr	SINGLETON_SLOT34	104	0x00F318C0	0x00B2FCD8	0x0043BB80	0x00B2FCF4	0x006037B0	0x006037B0	0x00603B3C	0x00202BB0	908	17c777bd994fc7ecea1f296fa412dd2b8e8253e9db449e1c01c1638ac37aca5c	IMAGE
c14f2863afa98d4c3233e6bad28b6221f1a66c1d1acd618b5d875a91a445539e	DailyQuestAttr	SINGLETON_SLOT34	105	0x00F31880	0x00B2FC98	0x0043BB80	0x00B2FCB4	0x00602810	0x00602810	0x00602951	0x00201C10	321	2f3f0d48c0c80d3a9aaf68bc63100e3e503e276e051f1874645ee63fd79d5729	IMAGE
978ed970794b83d76ab312dad83ffe8c295cc93f6147077a499f894db380e1ad	ActorMailData	SINGLETON_SLOT34	130	0x00F356E8	0x00B33B00	0x0043BB80	0x00B33B1C	0x00638F20	0x00638F20	0x006390C6	0x00238320	422	b951110fae55bf9092a1cb0ebe0ea0d4c77e3e4bf84bb66e187f92ac44675d69	IMAGE
4c580de24c84e6e72373a45e7e24c0a3dcc32296ed367a8184c01a3b9bf420a0	ActorCommunityProperty	SINGLETON_SLOT34	134	0x00F356A8	0x00B33AC0	0x0043BB80	0x00B33ADC	0x00638430	0x00638430	0x006384CB	0x00237830	155	7f768ea66ca86fe1fd09b98dc89e9867515b5800ab3e6cd9d2b9e5ab5d4c8cce	IMAGE
7cd829fdbe7afecbff9dfeb35fa4e9b2fb9afedcb1560690dc976752f312048e	VowLockData	SINGLETON_SLOT34	166	0x00F36E30	0x00B35248	0x0043BB80	0x00B35264	0x00649CA0	0x00649CA0	0x00649EC6	0x002490A0	550	a0d5daab697aefc1e3cc4b3b28e6ed3a1e5d66668bde6c9adda4a5bc5db38f27	IMAGE
16e99af1d93283c04370e50a18fdf91622c78deb054bafb3261cc5e86cadff9f	CBuffAttr	SINGLETON_SLOT34	167	0x00F36E80	0x00B35298	0x0043BB80	0x00B352B4	0x0064A430	0x0064A430	0x0064A58A	0x00249830	346	738d40cfef5b7ec3f4d74c3f148bd688b7ec6e3c6a8aa90cda67da702dac1e42	IMAGE
4a0301b062370b9af90e5ccca76ff99b8791721f3418e1cf44a72e1b18051ecc	DailyRewardAttr	SINGLETON_SLOT34	191	0x00F37BE0	0x00B35FF8	0x0043BB80	0x00B36014	0x0065CC20	0x0065CC20	0x0065CCD8	0x0025C020	184	8edd9b8f9484cdd1866d2526bbe11b4fa02ee9a774ff04b5e4a9c6ca86180df1	IMAGE
40504e6690d08139886acebc03e7a44169f2d4631607485ad434d5090b5e4684	DailyRewardBagAttr	SINGLETON_SLOT34	192	0x00F37C20	0x00B36038	0x0043BB80	0x00B36054	0x0065D4E0	0x0065D4E0	0x0065D668	0x0025C8E0	392	0d1d532c61444af80027d13768d4365cf01859ceef01a4b96091572983f0128e	IMAGE
79753ebaad8a6829148bec76a8749643e18338ecc1a7669402ccc1d61e05debd	CGuildStorageAttr	SINGLETON_SLOT34	209	0x00F39108	0x00B37520	0x0046E0A0	0x00B3753C	0x00469FA0	0x00469FA0	0x00469FD8	0x000693A0	56	828554cb9ece35a2316ffc9e8bf44be3b2ef033bd189cb9b15400ecd3b48c63f	IMAGE
e27fd7c9deb5ee33e8572f21ca1435128c5178e89ce5434f894a0af1e698ad74	CrystalSlotAttr	SINGLETON_SLOT34	238	0x00F3B698	0x00B39AB0	0x0043BB80	0x00B39ACC	0x0068E4C0	0x0068E4C0	0x0068E594	0x0028D8C0	212	7e21bda3f0bcb724bdd712b5848942eb103a75507e5d857e7f40a2dbf7dc7e74	IMAGE
