dedup_key	delta_action	base_row_number	message	direction(W/R)	order	field_offset	original_tag	corrected_tag	original_payload_len	corrected_full_wire_len	string_kind	length_prefix	original_call_va	original_call_file_off	base_span_start	base_span_end	base_span_sha256	helper_va	helper_file_off	helper_span_end_va	helper_span_end_file_off	helper_span_sha256	tag_instruction_va	tag_instruction_file_off	tag_instruction_semantics	priority	source
603e2950f57f3e5d7ef7f9f917bde5874d2110ce736ea24a7c36a88d5d4ee01c	CHANGED	4437	KnowledgeGuru_NewQuizVital	W	5	OBJ+0x18+0x2C	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A292D	0x002A1D2D	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
2adb1f5ee9d535dcd4edb8eb466e32c8b7d114910ef21c89dc19cd6dc22e4893	CHANGED	4438	KnowledgeGuru_NewQuizVital	R	5	OBJ+0x18+0x2C	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A2934	0x002A1D34	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
00a6b8c70ffd87e0f590080e4cca7e2e178ef90d033cbe326c6350fb0da102e9	CHANGED	4439	KnowledgeGuru_NewQuizVital	W	6	OBJ+0x18+0x48	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A2943	0x002A1D43	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
15f769daafea97d9d576839df22b7e53c7796fd3597fc8177a9f21daf46fff80	CHANGED	4440	KnowledgeGuru_NewQuizVital	R	6	OBJ+0x18+0x48	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A294A	0x002A1D4A	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
73e7e8210cd6cb7319b195bb0171a158e313d898fe12ded451b0b586bb2c9119	CHANGED	4441	KnowledgeGuru_NewQuizVital	W	7	OBJ+0x18+0x64	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A2959	0x002A1D59	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
a2f97c1b4719a4d1b7a41e4c42e8a40e8ac7bfe384672ffa7d2915e5f377d760	CHANGED	4442	KnowledgeGuru_NewQuizVital	R	7	OBJ+0x18+0x64	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A2960	0x002A1D60	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
ab61b8507bd42aaf9dd0bbc3bf558c6999574455f3648d5c44b168898e7c5376	CHANGED	4443	KnowledgeGuru_NewQuizVital	W	8	OBJ+0x18+0x80	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A2972	0x002A1D72	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
cae9c0eafa556f28c73c32cb36ad572bb98d04b8cf3ef10c91d4de07b117de21	CHANGED	4444	KnowledgeGuru_NewQuizVital	R	8	OBJ+0x18+0x80	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006A2979	0x002A1D79	0x006A2900	0x006A29C2	305e27891845a62e24689ffcb1cbda7866576ad0ed8d2f93fb8d4e163f509799	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
8fe0b30dfe630f6b6772c08b2cecf196698c3f0c45ea52e7fbe85cd40ebdaf7a	CHANGED	4643	ItemMallPurchaseVital	W	7	+0x30	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006B84BF	0x002B78BF	0x006B8450	0x006B8529	afaae23f5f0b9096093b6803c99f88d0c703349ca6d56d71d3f414c8c01d4537	0x0089A810	0x00499C10	0x0089A875	0x00499C75	08d6f27f030f3e0f1a32873d296c7f2c35a9d67f547607cf95c2900a60ffdad4	0x0089A833	0x00499C33	push_0x48	1	IMAGE
e0c9b90de42f920ec70642a311bc7ab47e0f19a05df708c2d382cd655ab62630	CHANGED	4650	ItemMallPurchaseVital	R	7	+0x30	UNTAGGED_WSTRING16LE_LEN32LE	0x48	4+N_bytes	5+N_bytes	wstring16le	uint32le_byte_count	0x006B851F	0x002B791F	0x006B8450	0x006B8529	afaae23f5f0b9096093b6803c99f88d0c703349ca6d56d71d3f414c8c01d4537	0x0089A880	0x00499C80	0x0089A95E	0x00499D5E	2f564cb5d4f68d035d9e60fa1a4a5334b0875262420851f463f3f904e22ad978	0x0089A89C	0x00499C9C	push_0x48	1	IMAGE
