source	evidence_id	relative_path	size	sha256	document_kind	parse_status	root_tag	element_count	record_tag	record_count	attribute_names	parser_detail
DATA	DATA-1799	Data/Scene/Save/bg0017/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1800	Data/Scene/Save/bg0020/Sector_0_0/surfaces.xml	643	9F9B9A664947BD7FB55770DADCE86D348A66F9CDE980648FA12DB3518E7453CA	SURFACE_MASK_XML	PASS	Block	9	SurfaceMask	8	name,package,position	STANDARD_XML
DATA	DATA-1801	Data/Scene/Save/Bg0021/Sector_0_0/surfaces.xml	482	9F2BE59C6FF966DFE77F20FAC5E0F151B27BADEC2D68FB4700BEFA14A84EF5EF	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1802	Data/Scene/Save/Bg0022/Sector_0_0/surfaces.xml	575	214AA829686DCCCE23FDE1224C5911AA7613C87B2C99FA0939B929FDDD332D58	SURFACE_MASK_XML	PASS	Block	8	SurfaceMask	7	name,package,position	STANDARD_XML
DATA	DATA-1803	Data/Scene/Save/Bg0023/Sector_0_0/surfaces.xml	489	AC7220C6A6CB7B3E400B632325AB139F6D62E91938A6E00F75AFC052BF466453	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1804	Data/Scene/Save/Bg0030/Sector_0_0/surfaces.xml	555	0C0F834E10222C21AAFF918376A130A4296DD08D7CCA23BDFB56ED8B61752509	SURFACE_MASK_XML	PASS	Block	8	SurfaceMask	7	name,package,position	STANDARD_XML
DATA	DATA-1805	Data/Scene/Save/Bg0031/Sector_0_0/surfaces.xml	558	AA900FA71925F05D0DF3DFD34E9A5D87C8BF9C392617BFFCD130F6197D37866F	SURFACE_MASK_XML	PASS	Block	8	SurfaceMask	7	name,package,position	STANDARD_XML
DATA	DATA-1806	Data/Scene/Save/Bg0032/Sector_0_0/surfaces.xml	556	516E899E4A8796F26731ADB8F864C2F8F3CAC5DA7321E44818C6C388C7DDA317	SURFACE_MASK_XML	PASS	Block	8	SurfaceMask	7	name,package,position	STANDARD_XML
DATA	DATA-1807	Data/Scene/Save/Bg0033/Sector_0_0/surfaces.xml	491	110315E8FF899DC760E6FA44A9CFD3D5B4BBD3A77C8ECC794F5E1F15F870EFEB	SURFACE_MASK_XML	PASS	Block	7	SurfaceMask	6	name,package,position	STANDARD_XML
DATA	DATA-1808	Data/Scene/Save/Bg1001/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1809	Data/Scene/Save/Bg1002/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1810	Data/Scene/Save/Bg1003/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1811	Data/Scene/Save/Bg1004/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1812	Data/Scene/Save/Bg1005/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1813	Data/Scene/Save/Bg1006/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1814	Data/Scene/Save/Bg1007/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1815	Data/Scene/Save/Bg1008/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1816	Data/Scene/Save/Bg1009/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1817	Data/Scene/Save/Bg1010/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1818	Data/Scene/Save/Bg1011/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1819	Data/Scene/Save/Bg1012/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1820	Data/Scene/Save/Bg1013/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1821	Data/Scene/Save/Bg1014/Sector_0_0/surfaces.xml	35	75925F6EDC117198CF0A34043FFDB081A7F958E2D1A4E990CD4BDE24B4B09A58	SURFACE_MASK_XML	PASS	Block	1	SurfaceMask	0	NONE	STANDARD_XML
DATA	DATA-1822	Data/Scene/Save/Bg1016/Sector_0_0/surfaces.xml	672	487EB7B2867ED6F801CCE400DA702857676E38AC5A4FB2F2A4AADD0122EC3B86	SURFACE_MASK_XML	PASS	Block	9	SurfaceMask	8	name,package,position	STANDARD_XML
DATA	DATA-1823	Data/Scene/Save/Bg1017/Sector_0_0/surfaces.xml	581	0BF903D931B24D0E5C836CC9D9F1E9D198F288C73C73C1FC4C40282E2F5FC81E	SURFACE_MASK_XML	PASS	Block	8	SurfaceMask	7	name,package,position	STANDARD_XML
DATA	DATA-1824	Data/Scene/Save/Bg1018/Sector_0_0/surfaces.xml	339	6459C1E149629ED49275C8FEAE008C83E9747EBC0830B6C002CC65CB597D9BF8	SURFACE_MASK_XML	PASS	Block	5	SurfaceMask	4	name,package,position	STANDARD_XML
DATA	DATA-1825	Data/Scene/Save/Bg1019/Sector_0_0/surfaces.xml	419	9FE770A29FFB3EC95F21804B0AF6F558504F38D52E23847FF5CB8F3DF2F2E4E5	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1826	Data/Scene/Save/Bg1020/Sector_0_0/surfaces.xml	419	03E2615152BF940D46B132F32A841E961711B8A3B734BD67BEDB4E64BF265B37	SURFACE_MASK_XML	PASS	Block	6	SurfaceMask	5	name,package,position	STANDARD_XML
DATA	DATA-1827	Data/Scene/Save/Bg1021/Sector_0_0/surfaces.xml	116	D8C369E7D320B7224CA98A99A84A04F3DA67F7D0A56C5A0EDB3D9F44103E6403	SURFACE_MASK_XML	PASS	Block	2	SurfaceMask	1	name,package,position	STANDARD_XML
DATA	DATA-1828	Data/Scene/Save/Bg1022/Sector_0_0/surfaces.xml	116	31FE42DA1388369F4EF09DB520E469BF3E60A7F529F99BA301BF9595B2945E3A	SURFACE_MASK_XML	PASS	Block	2	SurfaceMask	1	name,package,position	STANDARD_XML
